#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1501,3.001999999999891,3503.170858398673,641.7969666235149,297.45831458608086
1502,3.0039999999998908,3543.5071034618995,603.4570112526417,279.68861622504835
1503,3.0059999999998905,3550.0116085104055,606.4309122655541,281.0669517876184
1504,3.0079999999998903,3506.120436164678,636.4385354369879,294.97480345645465
1505,3.00999999999989,3550.712786805012,594.7462394237518,275.65137136146296
1506,3.01199999999989,3539.410737932787,596.8281676936895,276.61629782025074
1507,3.0139999999998897,3555.0243117857135,583.3278446123004,270.359204753444
1508,3.0159999999998894,3526.2051583087414,629.326197758317,291.6783965105091
1509,3.017999999999889,3455.6952744402333,689.3814552426338,319.5126441033264
1510,3.019999999999889,3500.456176724878,660.4300465919077,306.0943238712371
1511,3.0219999999998888,3524.9022456073544,630.1412570774555,292.05615798955466
1512,3.0239999999998886,3582.3839991517707,582.5445165261626,269.99614998006865
1513,3.0259999999998883,3564.866579884325,596.7626971527934,276.5859537118134
1514,3.027999999999888,3528.4294758610304,634.8594235517085,294.24292096967815
1515,3.029999999999888,3531.3325985032243,642.6493630260229,297.8533809550966
1516,3.0319999999998877,3541.955406549281,644.8166410177946,298.8578650710991
1517,3.0339999999998875,3581.6930734673624,610.16821205616,282.7991053418259
1518,3.0359999999998872,3540.853725836507,634.3365548253059,294.00058319278935
1519,3.037999999999887,3522.5233152202672,655.5659568458796,303.8399287695262
1520,3.039999999999887,3524.7772043921395,655.2141024917364,303.6768522693149
1521,3.0419999999998866,3528.5122530014596,651.0848486125469,301.76303689891245
1522,3.0439999999998864,3548.482729303312,626.2453956604004,290.2505147234687
1523,3.045999999999886,3541.84600631626,622.6005210243165,288.561198128797
1524,3.047999999999886,3527.31978672709,615.920654989779,285.46523196562265
1525,3.0499999999998857,3544.519362664443,597.1029008068144,276.74363037718234
1526,3.0519999999998855,3550.9934616634964,600.06425120309,278.1161490140485
1527,3.0539999999998853,3551.765211025846,605.752055902034,280.7523172844342
1528,3.055999999999885,3558.996421697211,603.3395820558071,279.6341904599075
1529,3.057999999999885,3527.295594621228,636.1846291348338,294.85712365329374
1530,3.0599999999998846,3546.094677465513,622.7436151094735,288.6275189866564
1531,3.0619999999998844,3540.2866678038954,630.0475018378347,292.01270456579056
1532,3.063999999999884,3512.2642846907365,655.0096477642655,303.5820921476481
1533,3.065999999999884,3521.4549191763035,663.099785219878,307.3316870779212
1534,3.0679999999998837,3455.8446480572566,703.9788535088301,326.2782065964749
1535,3.0699999999998835,3459.9207073642283,698.532918214798,323.75413930081584
1536,3.0719999999998833,3489.556133600079,657.9030902720988,304.92313702085744
1537,3.073999999999883,3473.290283955761,662.5417485013604,307.0730497355843
1538,3.075999999999883,3514.0451378581456,627.0549057498574,290.62570426061643
1539,3.0779999999998826,3521.1452842030085,627.9285829365253,291.0306337896633
1540,3.0799999999998824,3476.7359453438658,663.975760743022,307.7376818337143
1541,3.081999999999882,3516.2957176655873,637.4469223842025,295.4421678993674
1542,3.083999999999882,3527.555210573959,634.6776458919048,294.15867115372924
1543,3.0859999999998817,3509.301208845234,637.1135861724615,295.2876741374903
1544,3.0879999999998815,3532.0218159660108,628.9307359829545,291.495108961175
1545,3.0899999999998813,3478.412535177671,684.2977623268962,317.1564679210922
1546,3.091999999999881,3476.883858358149,683.9116477519274,316.97751258680387
1547,3.093999999999881,3511.501354165037,652.167877804488,302.26499632663797
