#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1,0.002,2849.558274076913,9.351435706601478,4.334178017200765
2,0.004,2854.5320370231166,16.91043375735171,7.83760189900079
3,0.006,2861.9823732661425,26.331452196929604,12.204029932253125
4,0.008,2870.4376838818534,30.199702402576804,13.996876029084332
5,0.01,2873.764487436634,37.402288719662465,17.33511116879303
6,0.012,2879.3611576847143,43.16261253133416,20.00489040054042
7,0.014,2886.3998968085616,49.72189336642623,23.044968063057343
8,0.016,2894.1920133397325,52.04924286995083,24.123641688477086
9,0.018000000000000002,2902.8038856733,63.86000933870673,29.59766364630727
10,0.020000000000000004,2905.1183686513796,70.21808372321539,32.54448668970491
11,0.022000000000000006,2912.2100382630124,76.98180786403827,35.6793191801716
12,0.024000000000000007,2917.410194118169,84.6253333974164,39.22191962999278
13,0.02600000000000001,2924.810459522192,94.97056707646698,44.01670043171431
14,0.02800000000000001,2931.075433521659,101.23532945360057,46.920275479425
15,0.030000000000000013,2931.9689198603264,105.026527245529,48.6774095328663
16,0.032000000000000015,2944.1810305804356,112.0162269435823,51.916976560713316
17,0.034000000000000016,2951.6543848883703,115.00612040236592,53.302724258650684
18,0.03600000000000002,2960.5294815428897,116.46289051137865,53.97790411131662
19,0.03800000000000002,2963.570260966324,116.96191422338597,54.209190265710774
20,0.04000000000000002,2970.55527511764,119.43940914515406,55.35745288169321
21,0.04200000000000002,2976.127372041472,126.73768011853099,58.740035685963015
22,0.044000000000000025,2978.757024901348,131.19082082249224,60.80396524204024
23,0.04600000000000003,2989.6855995390906,133.8170282309875,62.02115271737889
24,0.04800000000000003,2985.643814688676,145.92425762396306,67.63257850595572
25,0.05000000000000003,3003.6816279989544,147.28929750062525,68.26524347972602
26,0.05200000000000003,3009.6036779015667,151.00165482610464,69.98583676795539
27,0.054000000000000034,3014.8058696218177,160.80876862164587,74.53121122792359
28,0.056000000000000036,3035.377032866596,157.84742676466703,73.15869654882748
29,0.05800000000000004,3023.8204683814074,171.67321016266942,79.56663307903315
30,0.06000000000000004,3040.1023928757168,168.3831034079194,78.04174333824022
31,0.06200000000000004,3032.346266668883,186.04735692963004,86.22872357380054
32,0.06400000000000004,3029.359044525434,192.73999867541716,89.33061098891838
33,0.06600000000000004,3032.6613389208323,202.64175368472934,93.91984950154298
34,0.06800000000000005,3037.294754848943,204.41576171992347,94.74206192642745
35,0.07000000000000005,3048.9680188262246,205.36446711421013,95.18176532531992
36,0.07200000000000005,3059.6250353126197,208.8088766336441,96.77817089230993
37,0.07400000000000005,3060.392067700752,213.76591739803553,99.07564667950126
38,0.07600000000000005,3063.1502767104066,226.0513163022697,104.76964998914121
39,0.07800000000000006,3071.022169571497,228.14884013682604,105.74180463785159
40,0.08000000000000006,3071.9972443228,233.25518581084907,108.10847985895751
41,0.08200000000000006,3079.4906006840865,235.95302297268063,109.35886609778319
42,0.08400000000000006,3075.0546417277183,240.89056070521474,111.64730267275121
43,0.08600000000000006,3072.4913281955633,251.13793632388115,116.39672848648694
44,0.08800000000000006,3083.24828882761,244.3099325299263,113.23210383700862
45,0.09000000000000007,3082.883501537737,252.80694975424558,117.17027829715309
46,0.09200000000000007,3082.7058189414784,255.0424169898033,118.20636657862276
47,0.09400000000000007,3086.4296320761896,258.896904733032,119.99283408675933
48,0.09600000000000007,3085.692213750106,262.2003284879029,121.52389595459132
49,0.09800000000000007,3109.9827755728147,255.60172514803708,118.46559320438534
50,0.10000000000000007,3117.6269945945933,266.5921154022217,123.5593894229187
51,0.10200000000000008,3109.693209480156,285.2552719414234,132.2093385154075
52,0.10400000000000008,3123.833232764282,279.3499992489815,129.4723787701686
53,0.10600000000000008,3109.322948358149,288.0070943683386,133.48474569823784
54,0.10800000000000008,3147.0742318575612,259.83955373615026,120.42973048592584
55,0.11000000000000008,3149.166501113341,261.8762850686908,121.37370919095072
56,0.11200000000000009,3142.535961799451,271.9406081624329,126.03829431771474
57,0.11400000000000009,3160.694516491272,267.866581922397,124.1500757034759
58,0.11600000000000009,3131.0129975119016,294.92562763392925,136.69132870129772
59,0.11800000000000009,3156.4262157833546,279.1407511010766,129.37539700702084
60,0.12000000000000009,3154.495020290964,280.1941946707666,129.86364417091767
61,0.1220000000000001,3171.2852307242683,279.5735913105309,129.57600861144573
62,0.1240000000000001,3173.368217778054,296.08842795342207,137.2302602345148
63,0.12600000000000008,3146.054344529879,327.7067805044353,151.8846483804938
64,0.12800000000000009,3161.952552669809,316.66541599621996,146.76722675317882
65,0.1300000000000001,3186.169861788989,299.3206754922867,138.7283335431094
66,0.1320000000000001,3181.5046879035763,312.1489743217826,144.67395863526863
67,0.1340000000000001,3182.0667152438655,319.7902774065733,148.21552903065603
68,0.1360000000000001,3159.822388569486,342.6204364448786,158.7967891213572
69,0.1380000000000001,3151.2617336419753,347.3317134529352,160.9803589904039
70,0.1400000000000001,3200.1643710240132,324.4162585325539,150.35956619599278
71,0.1420000000000001,3185.508909297303,337.1474744826555,156.2601955789455
72,0.1440000000000001,3205.2321707011542,332.4683218970895,154.09151464996563
73,0.1460000000000001,3197.7793265060864,345.6162855476141,160.18529712497428
74,0.1480000000000001,3172.2964437875307,368.11284720897675,170.61194240966017
75,0.1500000000000001,3220.45927291935,326.9496086537838,151.53371642808563
76,0.1520000000000001,3174.3909682856283,352.65638349205256,163.4482225951441
77,0.1540000000000001,3183.0843578014865,366.42338350601494,169.82891436220575
78,0.1560000000000001,3174.7858622233725,371.9030648395419,172.36862218057553
79,0.1580000000000001,3166.3177180747844,389.4098683744669,180.48262792398882
80,0.16000000000000011,3218.3895920665345,346.8973756954074,160.77905330646612
81,0.16200000000000012,3198.8853072506718,359.40231639146805,166.57480924937497
82,0.16400000000000012,3210.9291979979134,354.36810809373856,164.24156806346528
83,0.16600000000000012,3238.870790165045,335.5094830058515,155.50102373904136
84,0.16800000000000012,3221.2292085952467,354.16016048938036,164.14518907270747
85,0.17000000000000012,3238.398172175639,354.6521835848689,164.37323060037536
86,0.17200000000000013,3241.645600364671,362.01711209863424,167.7867076603826
87,0.17400000000000013,3224.630562499293,394.1127746477723,182.66231814763296
88,0.17600000000000013,3252.3574093432508,377.66956213116646,175.0412626800406
89,0.17800000000000013,3243.9214726445607,391.7169728539884,181.55191844068122
90,0.18000000000000013,3240.3965135506696,412.63078879565,191.2449970388845
91,0.18200000000000013,3252.4170828416354,420.5884434655309,194.93318920752924
92,0.18400000000000014,3234.346529924438,431.85675473324955,200.1557955024156
93,0.18600000000000014,3263.210725836583,408.830604005605,189.48369771597018
94,0.18800000000000014,3254.0540010623045,414.6228710883297,192.16828192820816
95,0.19000000000000014,3267.125339548231,416.64370906725526,193.10489442487545
96,0.19200000000000014,3297.2445930597714,395.50533675029874,183.30773904787998
97,0.19400000000000014,3274.464855829381,412.0162982493639,190.96019462981582
98,0.19600000000000015,3281.968961635732,418.85830087959766,194.13130742190344
99,0.19800000000000015,3305.362288948276,405.7660378739238,188.06334093045388
100,0.20000000000000015,3321.076685073913,410.1212489400059,190.08188232400238
101,0.20200000000000015,3354.7438038067303,383.4013209976256,177.69780270858035
102,0.20400000000000015,3335.237639729992,411.4558307752013,190.70043068745596
103,0.20600000000000016,3297.0959062707952,448.0441419254057,207.65828174360666
104,0.20800000000000016,3312.461904646025,439.0246222317219,203.4779392583905
105,0.21000000000000016,3304.8196864418096,444.94300408661366,206.22097480262929
106,0.21200000000000016,3341.8349200246266,428.46759195253253,198.58499554380293
107,0.21400000000000016,3320.2399255653254,448.5782292559743,207.90581908867784
108,0.21600000000000016,3307.5131936968646,459.34465999156237,212.89581515794015
109,0.21800000000000017,3323.502787910529,444.2180058956146,205.88495461059398
110,0.22000000000000017,3326.0825318518437,450.7069663517177,208.8924403748893
111,0.22200000000000017,3330.6301370096735,452.3697212021798,209.66308947594436
112,0.22400000000000017,3301.5410711310215,473.7947141304612,219.59308699524362
113,0.22600000000000017,3296.715870854572,485.4880562275648,225.01268542429526
114,0.22800000000000017,3353.1140482082374,459.18516328185797,212.82189205621486
115,0.23000000000000018,3351.7970567300326,445.85828585363925,206.64518710955738
116,0.23200000000000018,3324.1778634163893,476.01898903772235,220.62398788679945
117,0.23400000000000018,3327.0510179662488,476.4820995219052,220.83862907592334
118,0.23600000000000018,3316.1565502277917,487.26125241816044,225.83452157765066
119,0.23800000000000018,3375.7618182135157,442.0379040762782,204.87452694182895
120,0.24000000000000019,3376.2560040747157,442.1773782297969,204.9391700436065
121,0.2420000000000002,3326.3745991560972,481.949261598289,223.37253450300219
122,0.2440000000000002,3375.269314487592,455.16777865588665,210.95992554339014
123,0.2460000000000002,3357.417552236595,471.7344735953957,218.63821230889752
124,0.2480000000000002,3398.7511000299237,449.29792942106724,208.23938376605884
125,0.25000000000000017,3385.569487407931,457.53774876892567,212.05835285312455
126,0.25200000000000017,3337.1163099018268,501.23452205583453,232.31081462955848
127,0.25400000000000017,3364.6978005526,474.05532180145383,219.71387273062894
128,0.25600000000000017,3348.5935455385006,484.7397806569934,224.665876695611
129,0.2580000000000002,3373.1315210192806,469.7515150755644,217.71915608102796
130,0.2600000000000002,3378.3194714031524,474.34921668842435,219.85008633444764
131,0.2620000000000002,3327.940591782459,498.836893633008,231.19956832154028
132,0.2640000000000002,3374.325802863703,455.65796829760075,211.1871173068834
133,0.2660000000000002,3372.8238706673837,458.2557775750756,212.39114289360305
134,0.2680000000000002,3332.9187383932403,485.35608626902103,224.95152034641876
135,0.2700000000000002,3346.395952768751,476.9670032262802,221.06337092753847
136,0.2720000000000002,3318.7885937654755,518.5447722822428,240.33372237949686
137,0.2740000000000002,3370.037360770755,469.5312437880784,217.61706534309258
138,0.2760000000000002,3430.1184861940674,423.5365426130593,196.29956619162442
139,0.2780000000000002,3374.1181379315785,476.2183235324919,220.7163748969235
140,0.2800000000000002,3385.7168678447015,488.82930352538824,226.56127764506354
141,0.2820000000000002,3374.5310217245824,501.2016433477402,232.29557609524917
142,0.2840000000000002,3354.9829730132005,515.7742098346353,239.04962962278512
143,0.2860000000000002,3421.9081858137033,476.12590937223285,220.67354303297878
144,0.2880000000000002,3364.161797654011,519.4004255831242,240.73029824692298
145,0.2900000000000002,3351.766939174511,531.7133291736245,246.43704935383442
146,0.2920000000000002,3376.322185684123,520.8804614171386,241.41626123460907
147,0.2940000000000002,3342.89142596455,544.5384583547711,252.38120538598736
